Audio file	Start	End	Text
homostoria_01	0:00:00	0:00:06	Selamat datang di siniar Homostoria! Tempat dimana cerita bisa diutarakan dan yang lainnya bisa mendengarkan.
homostoria_01	0:00:06	0:00:11	Karena semua orang suka cerita, bercerita, dan diceritakan!
homostoria_01	0:00:11	0:00:21	Halo, pendengar semua! Akhirnya kita bertemu di episode perdana siniar Homostoria kali ini.
homostoria_01	0:00:21	0:00:23	Oke. Mungkin, kita perkenalkan dulu ya. Karena ini episode perdana banget.
homostoria_01	0:00:23	0:00:28	Kita perkenalkan dulu nih. Pemandu-pemandu atau host-host siniar Homostoria.
homostoria_01	0:00:28	0:00:33	Perkenalkan, nama aku, Han Hansen. Dan rekan saya...
homostoria_01	0:00:33	0:00:40	Halo semuanya! Pendengar dari Homostoria. Aku, Yacub Fahmilda.
homostoria_01	0:00:40	0:00:49	Oke, disini kita berdua akan memandu kalian semua dalam mendengarkan siniar Homostoria.
homostoria_01	0:00:49	0:00:50	Oke. Apa akun mau dulu, Cub?
homostoria_01	0:00:50	0:00:56	Kenapa sih kita ada disini gitu ya?
homostoria_01	0:00:56	0:00:59	Waduh, ini eksistensial banget pertanyaannya ya.
homostoria_01	0:00:59	0:01:04	Ya, atau mungkin. Kenapa kita ada disini?
homostoria_01	0:01:04	0:01:10	Kenapa kita perlu untuk mendengarkan podcast juga mungkin ya?
homostoria_01	0:01:10	0:01:12	Kira-kira kalau kamu kenapa, Hans?
homostoria_01	0:01:12	0:01:15	Kenapa kamu ada disini?
homostoria_01	0:01:15	0:01:21	Oke, disini. Mungkin, apa ya, tepatnya?
homostoria_01	0:01:21	0:01:23	Jadi, mungkin, kita balik lagi. Konteks-konteks ini dulu nih.
homostoria_01	0:01:23	0:01:28	Aku dan Yacub ini teman dari masa-masa kuliah.
homostoria_01	0:01:28	0:01:31	Kita kuliah di jurusan yang sama yang sama kebetulan.
homostoria_01	0:01:31	0:01:33	Jurusannya Sastra Indonesia.
homostoria_01	0:01:33	0:01:36	Yang kemudian berubah nama.
homostoria_01	0:01:36	0:01:39	Pas kita mau lulus jadi Bahasa dan Sastra Indonesia.
homostoria_01	0:01:39	0:01:40	Gak tau kenapa.
homostoria_01	0:01:40	0:01:41	Bener ya, Cub, ya?
homostoria_01	0:01:41	0:01:42	Benar banget!
homostoria_01	0:01:42	0:01:47	Aku juga syok ketika lihat ijazahku. Loh, kok ternyata ganti nama, gitu.
homostoria_01	0:01:47	0:01:53	Nggak ada pemberitahuan selamatan atau nggak ada bubur merah ya kalau di Jawa itu ya?
homostoria_01	0:01:53	0:01:56	Itu tiba-tiba udah ganti nama aja gitu.
homostoria_01	0:01:56	0:01:58	Tapi ya. Sorry,sorry aku mau motong.
homostoria_01	0:01:58	0:02:00	Fun fact.
homostoria_01	0:02:00	0:02:12	Jadi sebenarnya, waktu aku nulis, dimanapun. Jadi, kalau misalnya aku nulis jurusan, aku nulisnya itu, sebelum berubah nama, aku nulisnya udah bahasa dan Sastra Indonesia duluan.
homostoria_01	0:02:12	0:02:20	Hmm. Menarik malah.
homostoria_01	0:02:20	0:02:27	Visioner ya, sebenernya aku niru UNY. UNY soalnya jurusan Bahasa dan Sastra Indonesia.
homostoria_01	0:02:27	0:02:29	Terus sayang ya sama kampus sebelah. E eh, berarti kita ini gimana nih?
homostoria_01	0:02:29	0:02:37	Ini gimana nih cerita terakhirnya. Kita angkat tangan ya. Kita dari UGM kawan-kawan semuanya.
homostoria_01	0:02:37	0:02:40	Ya, langsung ketahuan ya kalau udah ngomong tetangga UNY gitu.
homostoria_01	0:02:40	0:02:41	Kampus yang bagus nggak sih, Cub? UGM, Cub?
homostoria_01	0:02:41	0:02:57	Kalo baratnya bagus. Kalo timurnya bagus, tapi kalo bagian timur-selatannya itu loh. Dimana lokasi Fakultas Ilmu Budaya berada itu menurutku juga eksistensinya juga kurang ya.
homostoria_01	0:02:57	0:03:04	Ya, jadi bagus, oke, secara keseluruhan. Kecuali timur-selatannya.
homostoria_01	0:03:04	0:03:08	Atau dari selatan dari kampus itu.
homostoria_01	0:03:08	0:03:12	Paling selatan kayaknya. FIB itu paling selatan.
homostoria_01	0:03:12	0:03:23	Ya. Ya, untuk teman-teman konteksnya, jurusan Bahasa Indonesia itu, atau Bahasa dan Selatan Indonesia itu ada di Fakultas Ilmu Budaya.
homostoria_01	0:03:23	0:03:24	Begitu ya.
homostoria_01	0:03:24	0:03:32	Sama, gedung paling terkenalnya UGM, GSP, Grha Sabha.
homostoria_01	0:03:32	0:03:33	Grha Sabha ya?
homostoria_01	0:03:33	0:03:35	Grha Sabha, ya benar.
homostoria_01	0:03:35	0:03:38	Namanya terkenal.
homostoria_01	0:03:38	0:03:45	Ya, GSP, Grha Sabha Pramana. Oke, kita udah nyebar kemana-mana, tapi...
homostoria_01	0:03:45	0:03:48	Tapi, kita balik lagi nih. Kenapa kita ada di sini?
homostoria_01	0:03:48	0:03:52	Kenapa kita memandu siniar Homostoria?
homostoria_01	0:03:52	0:04:10	Jadi, Homostoria itu kita ambil dari 2 kata "Homo" sama "Storia". Homo itu maksudnya manusia, artinya manusia. Kayak di Homo Sapiens sama Homo Eructus dan sebagainya. Kemudian, Storia itu dari cerita.
